entidad_a,enticve1,rangedad_a,sexostt,sexos1,sexos2,descrip
1,01,1,40,37,3,18 a 24 años
1,01,2,58,49,9,25 a 29 años
1,01,3,39,33,6,30 a 34 años
1,01,4,31,24,7,35 a 39 años
1,01,5,17,14,3,40 a 44 años
1,01,6,24,17,7,45 a 49 años
1,01,7,13,12,1,50 a 54 años
1,01,8,6,6,0,55 a 59 años
1,01,9,9,6,3,60 años o más
1,01,10,3902,3316,586,No identificado
2,02,1,2670,2416,254,18 a 24 años
2,02,2,2820,2537,283,25 a 29 años
2,02,3,2565,2311,254,30 a 34 años
2,02,4,2105,1895,210,35 a 39 años
2,02,5,1654,1473,181,40 a 44 años
2,02,6,1183,1055,128,45 a 49 años
2,02,7,706,632,74,50 a 54 años
2,02,8,421,372,49,55 a 59 años
2,02,9,383,323,60,60 años o más
2,02,10,4306,3719,587,No identificado
3,03,1,0,0,0,18 a 24 años
3,03,2,0,0,0,25 a 29 años
3,03,3,0,0,0,30 a 34 años
3,03,4,0,0,0,35 a 39 años
3,03,5,0,0,0,40 a 44 años
3,03,6,0,0,0,45 a 49 años
3,03,7,0,0,0,50 a 54 años
3,03,8,0,0,0,55 a 59 años
3,03,9,0,0,0,60 años o más
3,03,10,3059,2616,443,No identificado
4,04,1,69,60,9,18 a 24 años
4,04,2,80,76,4,25 a 29 años
4,04,3,69,63,6,30 a 34 años
4,04,4,55,50,5,35 a 39 años
4,04,5,47,41,6,40 a 44 años
4,04,6,31,27,4,45 a 49 años
4,04,7,20,16,4,50 a 54 años
4,04,8,11,9,2,55 a 59 años
4,04,9,6,5,1,60 años o más
4,04,10,288,255,33,No identificado
5,05,1,909,836,73,18 a 24 años
5,05,2,816,745,71,25 a 29 años
5,05,3,695,646,49,30 a 34 años
5,05,4,584,547,37,35 a 39 años
5,05,5,386,367,19,40 a 44 años
5,05,6,243,221,22,45 a 49 años
5,05,7,129,124,5,50 a 54 años
5,05,8,60,52,8,55 a 59 años
5,05,9,70,63,7,60 años o más
5,05,10,6276,5627,649,No identificado
7,07,1,365,340,25,18 a 24 años
7,07,2,279,259,20,25 a 29 años
7,07,3,269,245,24,30 a 34 años
7,07,4,260,240,20,35 a 39 años
7,07,5,198,176,22,40 a 44 años
7,07,6,142,131,11,45 a 49 años
7,07,7,122,110,12,50 a 54 años
7,07,8,65,57,8,55 a 59 años
7,07,9,76,67,9,60 años o más
7,07,10,754,687,67,No identificado
8,08,1,1485,1387,98,18 a 24 años
8,08,2,1347,1231,116,25 a 29 años
8,08,3,1224,1125,99,30 a 34 años
8,08,4,943,870,73,35 a 39 años
8,08,5,717,646,71,40 a 44 años
8,08,6,526,475,51,45 a 49 años
8,08,7,328,300,28,50 a 54 años
8,08,8,211,192,19,55 a 59 años
8,08,9,225,196,29,60 años o más
8,08,10,12824,11742,1082,No identificado
9,09,1,1074,905,169,18 a 24 años
9,09,2,1018,877,141,25 a 29 años
9,09,3,937,798,139,30 a 34 años
9,09,4,933,814,119,35 a 39 años
9,09,5,630,542,88,40 a 44 años
9,09,6,508,418,90,45 a 49 años
9,09,7,375,305,70,50 a 54 años
9,09,8,198,166,32,55 a 59 años
9,09,9,205,165,40,60 años o más
9,09,10,22782,19580,3202,No identificado
10,10,1,314,286,28,18 a 24 años
10,10,2,352,316,36,25 a 29 años
10,10,3,304,272,32,30 a 34 años
10,10,4,255,231,24,35 a 39 años
10,10,5,187,175,12,40 a 44 años
10,10,6,130,115,15,45 a 49 años
10,10,7,96,78,18,50 a 54 años
10,10,8,51,48,3,55 a 59 años
10,10,9,73,61,12,60 años o más
10,10,10,3057,2560,497,No identificado
11,11,1,63,56,7,18 a 24 años
11,11,2,55,48,7,25 a 29 años
11,11,3,44,36,8,30 a 34 años
11,11,4,29,24,5,35 a 39 años
11,11,5,40,35,5,40 a 44 años
11,11,6,28,23,5,45 a 49 años
11,11,7,7,6,1,50 a 54 años
11,11,8,7,6,1,55 a 59 años
11,11,9,15,13,2,60 años o más
11,11,10,13694,12336,1358,No identificado
12,12,1,126,113,13,18 a 24 años
12,12,2,110,101,9,25 a 29 años
12,12,3,113,94,19,30 a 34 años
12,12,4,97,84,13,35 a 39 años
12,12,5,74,62,12,40 a 44 años
12,12,6,44,41,3,45 a 49 años
12,12,7,23,19,4,50 a 54 años
12,12,8,21,19,2,55 a 59 años
12,12,9,32,26,6,60 años o más
12,12,10,3259,2721,538,No identificado
12,12,99,52,44,8,No especificado
13,13,1,433,364,69,18 a 24 años
13,13,2,484,403,81,25 a 29 años
13,13,3,470,379,91,30 a 34 años
13,13,4,435,341,94,35 a 39 años
13,13,5,358,279,79,40 a 44 años
13,13,6,252,199,53,45 a 49 años
13,13,7,177,137,40,50 a 54 años
13,13,8,88,66,22,55 a 59 años
13,13,9,170,127,43,60 años o más
13,13,10,2945,2361,584,No identificado
14,14,1,462,428,34,18 a 24 años
14,14,2,337,302,35,25 a 29 años
14,14,3,307,283,24,30 a 34 años
14,14,4,277,247,30,35 a 39 años
14,14,5,206,193,13,40 a 44 años
14,14,6,153,141,12,45 a 49 años
14,14,7,96,88,8,50 a 54 años
14,14,8,52,50,2,55 a 59 años
14,14,9,66,63,3,60 años o más
14,14,10,8019,7055,964,No identificado
15,15,1,3154,2842,312,18 a 24 años
15,15,2,2567,2320,247,25 a 29 años
15,15,3,2051,1846,205,30 a 34 años
15,15,4,1516,1365,151,35 a 39 años
15,15,5,1040,935,105,40 a 44 años
15,15,6,717,617,100,45 a 49 años
15,15,7,436,374,62,50 a 54 años
15,15,8,245,203,42,55 a 59 años
15,15,9,283,251,32,60 años o más
15,15,10,6975,5975,1000,No identificado
16,16,1,671,605,66,18 a 24 años
16,16,2,607,529,78,25 a 29 años
16,16,3,554,472,82,30 a 34 años
16,16,4,435,381,54,35 a 39 años
16,16,5,361,317,44,40 a 44 años
16,16,6,259,224,35,45 a 49 años
16,16,7,168,139,29,50 a 54 años
16,16,8,115,94,21,55 a 59 años
16,16,9,178,154,24,60 años o más
16,16,10,3240,2967,273,No identificado
17,17,1,362,313,49,18 a 24 años
17,17,2,304,274,30,25 a 29 años
17,17,3,232,207,25,30 a 34 años
17,17,4,159,143,16,35 a 39 años
17,17,5,123,114,9,40 a 44 años
17,17,6,82,70,12,45 a 49 años
17,17,7,63,58,5,50 a 54 años
17,17,8,26,22,4,55 a 59 años
17,17,9,58,47,11,60 años o más
17,17,10,1124,961,163,No identificado
18,18,1,366,305,61,18 a 24 años
18,18,2,361,328,33,25 a 29 años
18,18,3,414,370,44,30 a 34 años
18,18,4,375,337,38,35 a 39 años
18,18,5,309,282,27,40 a 44 años
18,18,6,236,212,24,45 a 49 años
18,18,7,166,142,24,50 a 54 años
18,18,8,89,80,9,55 a 59 años
18,18,9,121,109,12,60 años o más
18,18,10,1676,1484,192,No identificado
19,19,1,3547,3185,362,18 a 24 años
19,19,2,3006,2700,306,25 a 29 años
19,19,3,2789,2509,280,30 a 34 años
19,19,4,2227,1998,229,35 a 39 años
19,19,5,1573,1389,184,40 a 44 años
19,19,6,1079,953,126,45 a 49 años
19,19,7,637,542,95,50 a 54 años
19,19,8,359,307,52,55 a 59 años
19,19,9,370,328,42,60 años o más
19,19,10,28,23,5,No identificado
20,20,1,4,2,2,18 a 24 años
20,20,2,15,0,15,25 a 29 años
20,20,3,89,0,89,30 a 34 años
20,20,4,549,521,28,35 a 39 años
20,20,5,89,89,0,40 a 44 años
20,20,6,61,56,5,45 a 49 años
20,20,7,101,101,0,50 a 54 años
20,20,8,3,3,0,55 a 59 años
20,20,10,39,39,0,No identificado
21,21,1,569,521,48,18 a 24 años
21,21,2,404,364,40,25 a 29 años
21,21,3,339,295,44,30 a 34 años
21,21,4,235,209,26,35 a 39 años
21,21,5,194,170,24,40 a 44 años
21,21,6,132,111,21,45 a 49 años
21,21,7,77,67,10,50 a 54 años
21,21,8,44,39,5,55 a 59 años
21,21,9,51,40,11,60 años o más
21,21,10,4478,3790,688,No identificado
22,22,1,431,391,40,18 a 24 años
22,22,2,449,415,34,25 a 29 años
22,22,3,384,355,29,30 a 34 años
22,22,4,299,278,21,35 a 39 años
22,22,5,197,179,18,40 a 44 años
22,22,6,155,139,16,45 a 49 años
22,22,7,97,87,10,50 a 54 años
22,22,8,45,39,6,55 a 59 años
22,22,9,51,46,5,60 años o más
22,22,10,1087,979,108,No identificado
23,23,1,180,168,12,18 a 24 años
23,23,2,160,147,13,25 a 29 años
23,23,3,119,110,9,30 a 34 años
23,23,4,98,91,7,35 a 39 años
23,23,5,75,62,13,40 a 44 años
23,23,6,65,58,7,45 a 49 años
23,23,7,32,30,2,50 a 54 años
23,23,8,21,17,4,55 a 59 años
23,23,9,24,22,2,60 años o más
23,23,10,2469,2167,302,No identificado
24,24,1,41,37,4,18 a 24 años
24,24,2,49,46,3,25 a 29 años
24,24,3,49,46,3,30 a 34 años
24,24,4,38,35,3,35 a 39 años
24,24,5,20,17,3,40 a 44 años
24,24,6,24,18,6,45 a 49 años
24,24,7,13,12,1,50 a 54 años
24,24,8,6,5,1,55 a 59 años
24,24,9,15,14,1,60 años o más
24,24,10,984,901,83,No identificado
25,25,1,181,169,12,18 a 24 años
25,25,2,265,241,24,25 a 29 años
25,25,3,299,259,40,30 a 34 años
25,25,4,267,236,31,35 a 39 años
25,25,5,233,209,24,40 a 44 años
25,25,6,170,158,12,45 a 49 años
25,25,7,122,106,16,50 a 54 años
25,25,8,107,91,16,55 a 59 años
25,25,9,91,85,6,60 años o más
25,25,10,821,730,91,No identificado
26,26,1,1735,1632,103,18 a 24 años
26,26,2,1779,1636,143,25 a 29 años
26,26,3,1646,1518,128,30 a 34 años
26,26,4,1394,1275,119,35 a 39 años
26,26,5,1066,977,89,40 a 44 años
26,26,6,749,698,51,45 a 49 años
26,26,7,474,416,58,50 a 54 años
26,26,8,231,210,21,55 a 59 años
26,26,9,204,169,35,60 años o más
26,26,10,4448,4010,438,No identificado
27,27,1,153,147,6,18 a 24 años
27,27,2,143,127,16,25 a 29 años
27,27,3,147,138,9,30 a 34 años
27,27,4,129,117,12,35 a 39 años
27,27,5,136,118,18,40 a 44 años
27,27,6,95,83,12,45 a 49 años
27,27,7,68,60,8,50 a 54 años
27,27,8,33,31,2,55 a 59 años
27,27,9,56,49,7,60 años o más
27,27,10,5417,4854,563,No identificado
28,28,1,0,0,0,18 a 24 años
28,28,2,0,0,0,25 a 29 años
28,28,3,0,0,0,30 a 34 años
28,28,4,0,0,0,35 a 39 años
28,28,5,0,0,0,40 a 44 años
28,28,6,0,0,0,45 a 49 años
28,28,7,0,0,0,50 a 54 años
28,28,8,0,0,0,55 a 59 años
28,28,9,0,0,0,60 años o más
28,28,10,2368,1963,405,No identificado
29,29,1,210,196,14,18 a 24 años
29,29,2,198,174,24,25 a 29 años
29,29,3,174,155,19,30 a 34 años
29,29,4,165,148,17,35 a 39 años
29,29,5,119,102,17,40 a 44 años
29,29,6,71,64,7,45 a 49 años
29,29,7,53,43,10,50 a 54 años
29,29,8,26,18,8,55 a 59 años
29,29,9,33,21,12,60 años o más
29,29,10,456,373,83,No identificado
30,30,1,496,434,62,18 a 24 años
30,30,2,424,367,57,25 a 29 años
30,30,3,414,372,42,30 a 34 años
30,30,4,325,271,54,35 a 39 años
30,30,5,243,204,39,40 a 44 años
30,30,6,199,173,26,45 a 49 años
30,30,7,162,143,19,50 a 54 años
30,30,8,89,79,10,55 a 59 años
30,30,9,111,91,20,60 años o más
30,30,10,5073,4271,802,No identificado
31,31,1,151,135,16,18 a 24 años
31,31,2,169,149,20,25 a 29 años
31,31,3,161,143,18,30 a 34 años
31,31,4,147,131,16,35 a 39 años
31,31,5,95,85,10,40 a 44 años
31,31,6,79,70,9,45 a 49 años
31,31,7,62,52,10,50 a 54 años
31,31,8,44,40,4,55 a 59 años
31,31,9,62,50,12,60 años o más
31,31,10,410,354,56,No identificado
32,32,1,416,363,53,18 a 24 años
32,32,2,472,400,72,25 a 29 años
32,32,3,461,401,60,30 a 34 años
32,32,4,407,349,58,35 a 39 años
32,32,5,326,285,41,40 a 44 años
32,32,6,292,252,40,45 a 49 años
32,32,7,199,168,31,50 a 54 años
32,32,8,109,90,19,55 a 59 años
32,32,9,184,162,22,60 años o más
32,32,10,1864,1627,237,No identificado
